scope,duration_bucket,n_episodes,clearable_frac_gross,clearable_frac_retail,clearable_frac_retail_pm_rebate,clearable_frac_institutional
intl_president_co_aesp,<1min,35,1.0,0.0,0.1143,1.0
intl_president_co_aesp,1-5min,15,1.0,0.0,0.0667,1.0
intl_president_co_aesp,5-30min,27,1.0,0.0,0.0741,1.0
intl_president_co_aesp,>30min,19,1.0,0.0,0.1579,1.0
intl_president_pe_kfuj,<1min,21,1.0,0.0,0.0952,1.0
intl_president_pe_kfuj,1-5min,13,1.0,0.0,0.0769,1.0
intl_president_pe_kfuj,5-30min,20,1.0,0.0,0.05,1.0
intl_president_pe_kfuj,>30min,20,1.0,0.0,0.2,1.0
intl_president_pe_rpal,<1min,49,1.0,0.0,0.0,0.6122
intl_president_pe_rpal,1-5min,30,1.0,0.0,0.0,0.7
intl_president_pe_rpal,5-30min,47,1.0,0.0,0.0213,0.8085
intl_president_pe_rpal,>30min,44,1.0,0.0,0.0,0.6591
ma_acquisition_wb_psky,<1min,10,1.0,0.0,0.9,1.0
ma_acquisition_wb_psky,1-5min,5,1.0,0.0,0.8,1.0
ma_acquisition_wb_psky,5-30min,17,1.0,0.0,0.7647,1.0
ma_acquisition_wb_psky,>30min,18,1.0,0.0,0.9444,1.0
nba_finals_nyk,<1min,87,1.0,0.0,0.0115,0.5977
nba_finals_nyk,1-5min,71,1.0,0.0,0.0282,0.6338
nba_finals_nyk,5-30min,53,1.0,0.0,0.0,0.6226
nba_finals_nyk,>30min,30,1.0,0.0,0.0,0.5
nba_finals_sas,<1min,119,1.0,0.0,0.042,0.605
nba_finals_sas,1-5min,65,1.0,0.0,0.0,0.6462
nba_finals_sas,5-30min,77,1.0,0.0,0.0,0.5714
nba_finals_sas,>30min,29,1.0,0.0,0.0,0.4483
sports_retirement_arod,<1min,18,1.0,0.0,0.0,1.0
sports_retirement_arod,1-5min,15,1.0,0.0667,0.0667,0.2
sports_retirement_arod,5-30min,19,1.0,0.1053,0.1579,0.5789
sports_retirement_arod,>30min,13,1.0,0.2308,0.3077,0.6923
sports_retirement_kelce,<1min,49,1.0,0.4898,0.4898,1.0
sports_retirement_kelce,1-5min,7,1.0,0.5714,0.5714,1.0
sports_retirement_kelce,5-30min,36,1.0,0.5556,0.5556,1.0
sports_retirement_kelce,>30min,37,1.0,0.5135,0.5135,1.0
us_mayor_la_kbas,<1min,67,1.0,0.0,0.0448,1.0
us_mayor_la_kbas,1-5min,31,1.0,0.0,0.0645,1.0
us_mayor_la_kbas,5-30min,51,1.0,0.0,0.2353,1.0
us_mayor_la_kbas,>30min,25,1.0,0.0,0.2,1.0
us_senate_ak_mpel,<1min,0,,,,
us_senate_ak_mpel,1-5min,0,,,,
us_senate_ak_mpel,5-30min,0,,,,
us_senate_ak_mpel,>30min,0,,,,
OVERALL,<1min,455,1.0,0.0527,0.1055,0.778
OVERALL,1-5min,252,1.0,0.0198,0.0595,0.7222
OVERALL,5-30min,347,1.0,0.0634,0.1499,0.7983
OVERALL,>30min,235,1.0,0.0936,0.2213,0.7872
