scope,n_episodes,crossed_cycles,dur_median_s,dur_p90_s,dur_max_s,crossed_minutes,active_market_days,crossed_min_per_market_day,gap_adjacent_episodes,n_episodes_<1min,crossed_min_<1min,n_episodes_1-5min,crossed_min_1-5min,n_episodes_5-30min,crossed_min_5-30min,n_episodes_>30min,crossed_min_>30min,clearable_frac_gross,median_pi_total_gross_c,clearable_frac_retail,median_pi_total_retail_c,clearable_frac_retail_pm_rebate,median_pi_total_retail_pm_rebate_c,clearable_frac_institutional,median_pi_total_institutional_c
intl_president_co_aesp,96,4187,270.640025,3909.852118,18972.434822,2278.13,9,253.13,57,35,1.51,15,48.33,27,353.96,19,1874.33,1.0,1.0,0.0,,0.1042,0.7282,1.0,0.517
intl_president_pe_kfuj,74,4943,346.0578135,5740.526382,30688.524717,2566.32,8,320.79,43,21,0.5,13,35.75,20,267.09,20,2262.97,1.0,1.0,0.0,,0.1081,0.638,1.0,0.559
intl_president_pe_rpal,170,8751,338.345326,4272.575729,24360.630244,4617.69,10,461.77,102,49,2.75,30,68.09,47,635.41,44,3911.43,1.0,0.3,0.0,,0.0059,0.9458,0.6941,0.3572
ma_acquisition_wb_psky,50,6725,808.8726635,12412.031166,44245.487694,3521.93,10,352.19,34,10,0.0,5,12.92,17,206.34,18,3302.66,1.0,1.0,0.0,,0.86,0.7392,1.0,0.502
nba_finals_nyk,241,9292,120.238672,2495.199451,54524.12984,4824.29,10,482.43,83,87,12.6,71,164.91,53,629.38,30,4017.4,1.0,0.4,0.0,,0.0124,0.3828,0.6017,0.3858
nba_finals_sas,290,6589,90.4371215,1594.190264,11927.111059,3386.51,10,338.65,78,119,15.11,65,149.64,77,847.44,29,2374.32,1.0,0.4,0.0,,0.0172,0.4105,0.5897,0.3452
sports_retirement_arod,65,4430,240.912877,7793.215217,20085.276575,2261.92,5,452.38,22,18,1.0,15,42.42,19,246.0,13,1972.49,1.0,0.2,0.0923,0.177,0.1231,0.3277,0.6308,0.2748
sports_retirement_kelce,129,15917,457.94819,12525.035293,54524.12984,8462.84,10,846.28,120,49,2.45,7,18.25,36,445.97,37,7996.16,1.0,1.4,0.5194,0.313,0.5194,0.4185,1.0,1.3802
us_mayor_la_kbas,174,7026,150.5211285,2827.871907,30987.33694,3640.68,10,364.07,67,67,11.04,31,71.03,51,710.59,25,2848.02,1.0,1.0,0.0,,0.1264,0.66,1.0,0.613
us_senate_ak_mpel,0,0,,,,0.0,0,,0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,
OVERALL,1289,67860,210.325654,4272.575729,54524.12984,35560.29,10,3556.03,606,455,46.96,252,611.35,347,4342.2,235,30559.78,1.0,0.7,0.0566,0.313,0.1296,0.6424,0.7742,0.541
