market_id,data_source,kalshi_mid,polymarket_yes_mid,polymarket_no_mid,discrepancy_direct_cents,discrepancy_synthetic_cents,crossed_direct,crossed_direct_lockable_cents,crossed_synthetic,crossed_synthetic_lockable_cents,exec_direct_fillable_size,exec_direct_net_profit,exec_direct_per_contract,exec_synthetic_fillable_size,exec_synthetic_net_profit,exec_synthetic_per_contract
nba_finals_okc,fresh,0.565,0.575,0.425,1.0000000000000009,1.0000000000000064,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
nba_finals_nyk,fresh,0.295,0.2855,,-0.9500000000000008,,True,0.40000000000000036,False,,0.0,0.0,0.0,0.0,0.0,0.0
nba_finals_sas,fresh,0.14500000000000002,0.146,0.854,0.09999999999999731,0.10000000000000009,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
sports_retirement_arod,fresh,0.03,0.0885,0.9115,5.85,5.85,True,1.0000000000000002,True,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
sports_retirement_kelce,fresh,0.045,0.0275,0.9724999999999999,-1.7499999999999998,-1.749999999999996,True,0.19999999999999984,False,,0.0,0.0,0.0,0.0,0.0,0.0
us_senate_ak_mpel,fresh,0.605,0.615,0.385,1.0000000000000009,1.0000000000000009,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
intl_president_co_aesp,fresh,0.695,0.665,0.335,-2.9999999999999916,-2.9999999999999973,True,1.9999999999999907,False,,0.0,0.0,0.0,0.0,0.0,0.0
intl_president_co_pval,fresh,0.020999999999999998,0.0165,0.9835,-0.44999999999999973,-0.45000000000000595,True,0.29999999999999993,False,,0.0,0.0,0.0,0.0,0.0,0.0
intl_president_pe_kfuj,fresh,0.72,0.715,0.28500000000000003,-0.5000000000000004,-0.5000000000000004,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
intl_president_pe_rpal,fresh,0.28500000000000003,0.2705,0.7295,-1.4500000000000013,-1.4500000000000068,True,0.9000000000000008,False,,0.0,0.0,0.0,0.0,0.0,0.0
intl_president_r1_co_icas,fresh,0.685,0.7,0.3,1.4999999999999902,1.4999999999999958,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
intl_mayor_kr_oseh,fresh,0.175,0.195,0.805,2.0000000000000018,1.9999999999999907,True,1.0000000000000009,True,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
us_mayor_la_kbas,fresh,0.685,0.705,0.295,1.9999999999999907,1.9999999999999962,True,1.0000000000000009,True,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
us_mayor_la_rhua,fresh,,,,,,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
ma_acquisition_wb_psky,fresh,0.835,0.845,0.155,1.0000000000000009,1.0000000000000036,False,,False,,0.0,0.0,0.0,0.0,0.0,0.0
