market,horizon,buy_leg_mean_c,sell_leg_mean_c,net_mean_c,net_median_c,buy_pct_neg,sell_pct_neg,buy_n_fills,sell_n_fills
arod,30s,0.0,-0.9122,-0.9122,-0.4,,97.3,0,37
arod,5min,0.0,-0.6311,-0.6311,-0.25,,64.9,0,37
arod,30min,0.0,0.4608,0.4608,0.1,,43.2,0,37
kelce,30s,-0.1028,0.0,-0.1028,-0.05,100.0,,18,0
kelce,5min,-0.075,0.0,-0.075,-0.05,61.1,,18,0
kelce,30min,0.0056,0.0,0.0056,0.05,11.1,,18,0
co_aesp,30s,-1.0,-2.0,-3.0,-3.0,100.0,100.0,3,1
co_aesp,5min,-0.6667,-1.0,-1.6667,-2.0,66.7,100.0,3,1
co_aesp,30min,-0.6667,-1.0,-1.6667,-2.0,66.7,100.0,3,1
co_pval,30s,-0.1527,-0.3636,-0.5163,-0.35,98.2,90.9,111,33
co_pval,5min,-0.1195,-0.5323,-0.6518,-0.55,72.7,83.9,110,31
co_pval,30min,-0.084,-0.8911,-0.9751,-0.875,58.3,75.0,103,28
pe_rpal,30s,-0.4031,-0.75,-1.1531,-0.875,100.0,100.0,32,2
pe_rpal,5min,-0.6141,-0.5,-1.1141,-0.775,93.8,50.0,32,2
pe_rpal,30min,-0.6226,1.0,0.3774,0.5,77.4,0.0,31,2
kr_oseh,30s,-0.5864,-1.0,-1.5864,-1.5,97.5,97.3,81,37
kr_oseh,5min,-0.1914,-0.7838,-0.9751,-1.0,32.1,73.0,81,37
kr_oseh,30min,-0.0556,-0.2027,-0.2583,-0.5,32.1,51.4,81,37
la_kbas,30s,-1.0,-0.6875,-1.6875,-1.75,100.0,75.0,24,8
la_kbas,5min,-1.2292,-0.75,-1.9792,-1.75,91.7,87.5,24,8
la_kbas,30min,-1.2708,0.0,-1.2708,-1.25,70.8,50.0,24,8
nyk,30s,-0.1583,-0.6154,-0.7737,-0.6,100.0,100.0,18,13
nyk,5min,-0.1472,-0.4615,-0.6088,-0.675,83.3,84.6,18,13
nyk,30min,0.2765,-0.7,-0.4235,-0.35,29.4,90.0,17,10
