venue,market_id,side,fetched_at,best_bid,best_ask,best_bid_size,best_ask_size,mid_simple,mid_size_weighted,spread_abs,spread_bps,depth_top_of_book,depth_within_1c,depth_within_5c,n_bid_levels,n_ask_levels
kalshi,nba_finals_okc,yes,2026-05-25T22:09:56.412510+00:00,0.47,0.48,230863.82,199.37,0.475,0.4799913716243595,0.010000000000000009,210.52631578947387,231063.19,231063.19,1590606.92,32,48
kalshi,nba_finals_okc,no,2026-05-25T22:09:56.412510+00:00,0.52,0.53,199.37,230863.82,0.525,0.5200086283756404,0.010000000000000009,190.47619047619062,231063.19,231063.19,1590606.92,48,32
polymarket,nba_finals_okc,yes,2026-05-25T22:09:56.412510+00:00,0.48,0.49,87415.1,12031.22,0.485,0.4887901794656655,0.010000000000000009,206.18556701030946,99446.32,99446.32,219927.59000000003,41,44
polymarket,nba_finals_okc,no,2026-05-25T22:09:56.412510+00:00,0.51,0.52,12031.22,87415.1,0.515,0.5112098205343345,0.010000000000000009,194.17475728155355,99446.32,99446.32,219927.59000000003,44,41
kalshi,nba_finals_cle,yes,2026-05-25T22:09:59.946763+00:00,,0.01,,3956692.33,,,,,3956692.33,0.0,0.0,0,73
kalshi,nba_finals_cle,no,2026-05-25T22:09:59.946763+00:00,0.99,,3956692.33,,,,,,3956692.33,0.0,0.0,73,0
polymarket,nba_finals_cle,yes,2026-05-25T22:09:59.946763+00:00,0.004,0.005,805.31,33351.94,0.0045000000000000005,0.004023576546706775,0.001,2222.222222222222,34157.25,1978671.42,2062990.15,4,138
polymarket,nba_finals_cle,no,2026-05-25T22:09:59.946763+00:00,0.995,0.996,33351.94,805.31,0.9955,0.9959764234532933,0.0010000000000000009,10.04520341536917,34157.25,1978671.42,2062990.15,138,4
kalshi,nba_finals_nyk,yes,2026-05-25T22:10:03.244554+00:00,0.25,0.27,448055.09,285216.38,0.26,0.2622207152011519,0.020000000000000018,769.2307692307699,733271.47,733271.47,1638266.69,24,73
kalshi,nba_finals_nyk,no,2026-05-25T22:10:03.244554+00:00,0.73,0.75,285216.38,448055.09,0.74,0.7377792847988481,0.020000000000000018,270.2702702702705,733271.47,733271.47,1638976.69,73,24
polymarket,nba_finals_nyk,yes,2026-05-25T22:10:03.244554+00:00,0.258,0.259,91.97,204.97,0.2585,0.25830972587054624,0.0010000000000000009,38.6847195357834,296.94,39997.26,411833.75,132,97
